mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.32695333162943524,0.003268997032679717,0.015550454457600912,0.0009549367879785009,,1,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.3855421686746988,0.46511627906976744,0.4666666666666667,0.4391083714703776,0.037882313259936996,16
0.6703157424926758,0.04139051712685804,0.024763186772664387,0.0007428982222164189,,1,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.4235294117647059,0.5,0.4772727272727273,0.4669340463458111,0.032063519860265,12
0.3349032402038574,0.010864236362410762,0.015003124872843424,0.000903048303819368,,1,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.37777777777777777,0.5161290322580645,0.5217391304347826,0.471881980156875,0.06658112334810151,10
0.6503322919209799,0.017614898031083258,0.023855288823445637,0.0007443276152010431,,1,5,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.36363636363636365,0.5274725274725275,0.5531914893617021,0.48143346015686445,0.08395428601987051,6
0.3340364297231038,0.012207326637628883,0.015967130661010742,0.0006735214159345552,,2,2,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.4090909090909091,0.5161290322580645,0.5416666666666666,0.48896220267188006,0.05743175861559581,4
0.64288330078125,0.006748503546986894,0.021633466084798176,0.00036426168290069856,,2,2,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.4318181818181818,0.5319148936170213,0.5319148936170213,0.4985493230174081,0.04718604245828992,1
0.3216984272003174,0.012456611121895165,0.01623845100402832,0.0006062376748420933,,2,5,100,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.4444444444444444,0.46153846153846156,0.4946236559139785,0.4668688539656281,0.020829436358140715,13
0.6136236190795898,0.004976576586348288,0.020015875498453777,0.00030002938138784367,,2,5,200,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.42696629213483145,0.47191011235955055,0.4888888888888889,0.462588431127757,0.02612498552384646,15
0.31764022509257,0.0009011311109365523,0.014576594034830729,3.436665961870826e-05,10,1,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.4044943820224719,0.4791666666666667,0.5263157894736842,0.4699922793876075,0.05015469977850657,11
0.6361141999562582,0.007589895094921147,0.020702282587687176,0.0008874174456339203,10,1,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.4318181818181818,0.4835164835164835,0.5106382978723404,0.4753243210690019,0.03269542595809799,9
0.30942749977111816,0.0003472891042250659,0.01427149772644043,0.0006897815806039895,10,1,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.42696629213483145,0.5161290322580645,0.5054945054945055,0.4828632766291338,0.039762863298463326,5
0.588967482248942,0.008472962830655373,0.01437989870707194,0.0014976941293565738,10,1,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.4044943820224719,0.5054945054945055,0.5319148936170213,0.48063459371133294,0.05490906485062076,7
0.3221582571665446,0.030154489084552125,0.013825813929239908,0.0001757404606398342,10,2,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.43478260869565216,0.5,0.5416666666666666,0.4921497584541063,0.04398689336104906,3
0.545168399810791,0.003054431573489372,0.013258218765258789,8.497362139504148e-05,10,2,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.44680851063829785,0.4835164835164835,0.5625,0.4976083313849271,0.048270524546163984,2
0.29877543449401855,0.02021862380253754,0.012307167053222656,0.0021527126634383383,10,2,5,100,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.4090909090909091,0.4835164835164835,0.5054945054945055,0.4660339660339661,0.04125241134795857,14
0.4762219587961833,0.011894618924298243,0.013168017069498697,4.7926417571088995e-05,10,2,5,200,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.4444444444444444,0.4888888888888889,0.5054945054945055,0.4796092796092796,0.0257728649272926,8
